MTU (CET/CEST),FC_Solar,Act_Solar,Day_Ahead_Price
17.04.2021 21:00 - 17.04.2021 21:15,0,0,
17.04.2021 21:15 - 17.04.2021 21:30,0,0,
17.04.2021 21:30 - 17.04.2021 21:45,0,0,
17.04.2021 21:45 - 17.04.2021 22:00,0,0,
17.04.2021 22:00 - 17.04.2021 22:15,0,0,
17.04.2021 22:15 - 17.04.2021 22:30,0,0,
17.04.2021 22:30 - 17.04.2021 22:45,0,0,
17.04.2021 22:45 - 17.04.2021 23:00,0,0,
17.04.2021 23:00 - 17.04.2021 23:15,0,0,
17.04.2021 23:15 - 17.04.2021 23:30,0,0,
17.04.2021 23:30 - 17.04.2021 23:45,0,0,
17.04.2021 23:45 - 18.04.2021 00:00,0,0,
18.04.2021 00:00 - 18.04.2021 00:15,0,0,
18.04.2021 00:15 - 18.04.2021 00:30,0,0,
18.04.2021 00:30 - 18.04.2021 00:45,0,0,
18.04.2021 00:45 - 18.04.2021 01:00,0,0,
18.04.2021 01:00 - 18.04.2021 01:15,0,0,
18.04.2021 01:15 - 18.04.2021 01:30,0,0,
18.04.2021 01:30 - 18.04.2021 01:45,0,0,
18.04.2021 01:45 - 18.04.2021 02:00,0,0,
18.04.2021 02:00 - 18.04.2021 02:15,0,0,
18.04.2021 02:15 - 18.04.2021 02:30,0,0,
18.04.2021 02:30 - 18.04.2021 02:45,0,0,
18.04.2021 02:45 - 18.04.2021 03:00,0,0,
18.04.2021 03:00 - 18.04.2021 03:15,0,0,
18.04.2021 03:15 - 18.04.2021 03:30,0,0,
18.04.2021 03:30 - 18.04.2021 03:45,0,0,
18.04.2021 03:45 - 18.04.2021 04:00,0,0,
18.04.2021 04:00 - 18.04.2021 04:15,0,0,
18.04.2021 04:15 - 18.04.2021 04:30,0,0,
18.04.2021 04:30 - 18.04.2021 04:45,0,0,
18.04.2021 04:45 - 18.04.2021 05:00,0,0,
18.04.2021 05:00 - 18.04.2021 05:15,0,0,
18.04.2021 05:15 - 18.04.2021 05:30,0,0,
18.04.2021 05:30 - 18.04.2021 05:45,0,0,
18.04.2021 05:45 - 18.04.2021 06:00,0,4,
18.04.2021 06:00 - 18.04.2021 06:15,6,16,
18.04.2021 06:15 - 18.04.2021 06:30,91,121,
18.04.2021 06:30 - 18.04.2021 06:45,265,225,
18.04.2021 06:45 - 18.04.2021 07:00,536,402,
18.04.2021 07:00 - 18.04.2021 07:15,922,781,
18.04.2021 07:15 - 18.04.2021 07:30,1411,1262,
18.04.2021 07:30 - 18.04.2021 07:45,1979,1846,
18.04.2021 07:45 - 18.04.2021 08:00,2588,2534,
18.04.2021 08:00 - 18.04.2021 08:15,3247,3296,
18.04.2021 08:15 - 18.04.2021 08:30,3951,4075,
18.04.2021 08:30 - 18.04.2021 08:45,4725,4890,
18.04.2021 08:45 - 18.04.2021 09:00,5523,5697,
18.04.2021 09:00 - 18.04.2021 09:15,6378,6536,
18.04.2021 09:15 - 18.04.2021 09:30,7278,7400,
18.04.2021 09:30 - 18.04.2021 09:45,8194,8262,
18.04.2021 09:45 - 18.04.2021 10:00,9085,9055,
18.04.2021 10:00 - 18.04.2021 10:15,9962,9816,
18.04.2021 10:15 - 18.04.2021 10:30,10766,10533,
18.04.2021 10:30 - 18.04.2021 10:45,11483,11178,
18.04.2021 10:45 - 18.04.2021 11:00,12107,11817,
18.04.2021 11:00 - 18.04.2021 11:15,12672,12405,
18.04.2021 11:15 - 18.04.2021 11:30,13156,12910,
18.04.2021 11:30 - 18.04.2021 11:45,13592,13327,
18.04.2021 11:45 - 18.04.2021 12:00,13890,13713,
18.04.2021 12:00 - 18.04.2021 12:15,14138,14046,
18.04.2021 12:15 - 18.04.2021 12:30,14327,14517,
18.04.2021 12:30 - 18.04.2021 12:45,14474,14958,
18.04.2021 12:45 - 18.04.2021 13:00,14544,15120,
18.04.2021 13:00 - 18.04.2021 13:15,14575,15052,
18.04.2021 13:15 - 18.04.2021 13:30,14583,14985,
18.04.2021 13:30 - 18.04.2021 13:45,14594,14977,
18.04.2021 13:45 - 18.04.2021 14:00,14536,14778,
18.04.2021 14:00 - 18.04.2021 14:15,14443,14542,
18.04.2021 14:15 - 18.04.2021 14:30,14349,14335,
18.04.2021 14:30 - 18.04.2021 14:45,14115,14069,
18.04.2021 14:45 - 18.04.2021 15:00,13864,13707,
18.04.2021 15:00 - 18.04.2021 15:15,13520,13251,
18.04.2021 15:15 - 18.04.2021 15:30,13195,12767,
18.04.2021 15:30 - 18.04.2021 15:45,12785,12200,
18.04.2021 15:45 - 18.04.2021 16:00,12287,11688,
18.04.2021 16:00 - 18.04.2021 16:15,11746,10942,
18.04.2021 16:15 - 18.04.2021 16:30,11179,10131,
18.04.2021 16:30 - 18.04.2021 16:45,10547,9310,
18.04.2021 16:45 - 18.04.2021 17:00,9864,8500,
18.04.2021 17:00 - 18.04.2021 17:15,9096,7652,
18.04.2021 17:15 - 18.04.2021 17:30,8294,6811,
18.04.2021 17:30 - 18.04.2021 17:45,7438,6037,
18.04.2021 17:45 - 18.04.2021 18:00,6532,5209,
18.04.2021 18:00 - 18.04.2021 18:15,5643,4444,
18.04.2021 18:15 - 18.04.2021 18:30,4740,3718,
18.04.2021 18:30 - 18.04.2021 18:45,3842,2950,
18.04.2021 18:45 - 18.04.2021 19:00,2979,2286,
18.04.2021 19:00 - 18.04.2021 19:15,2196,1684,
18.04.2021 19:15 - 18.04.2021 19:30,1526,1172,
18.04.2021 19:30 - 18.04.2021 19:45,976,720,
18.04.2021 19:45 - 18.04.2021 20:00,543,356,
18.04.2021 20:00 - 18.04.2021 20:15,236,133,
18.04.2021 20:15 - 18.04.2021 20:30,26,35,
18.04.2021 20:30 - 18.04.2021 20:45,0,3,
18.04.2021 20:45 - 18.04.2021 21:00,0,0,
18.04.2021 21:00 - 18.04.2021 21:15,0,0,
18.04.2021 21:15 - 18.04.2021 21:30,0,0,
18.04.2021 21:30 - 18.04.2021 21:45,0,0,
18.04.2021 21:45 - 18.04.2021 22:00,0,0,
18.04.2021 22:00 - 18.04.2021 22:15,0,0,
18.04.2021 22:15 - 18.04.2021 22:30,0,0,
18.04.2021 22:30 - 18.04.2021 22:45,0,0,
18.04.2021 22:45 - 18.04.2021 23:00,0,0,
18.04.2021 23:00 - 18.04.2021 23:15,0,0,
18.04.2021 23:15 - 18.04.2021 23:30,0,0,
18.04.2021 23:30 - 18.04.2021 23:45,0,0,
18.04.2021 23:45 - 19.04.2021 00:00,0,0,
19.04.2021 00:00 - 19.04.2021 00:15,0,0,
19.04.2021 00:15 - 19.04.2021 00:30,0,0,
19.04.2021 00:30 - 19.04.2021 00:45,0,0,
19.04.2021 00:45 - 19.04.2021 01:00,0,0,
19.04.2021 01:00 - 19.04.2021 01:15,0,0,
19.04.2021 01:15 - 19.04.2021 01:30,0,0,
19.04.2021 01:30 - 19.04.2021 01:45,0,0,
19.04.2021 01:45 - 19.04.2021 02:00,0,0,
19.04.2021 02:00 - 19.04.2021 02:15,0,0,
19.04.2021 02:15 - 19.04.2021 02:30,0,0,
19.04.2021 02:30 - 19.04.2021 02:45,0,0,
19.04.2021 02:45 - 19.04.2021 03:00,0,0,
19.04.2021 03:00 - 19.04.2021 03:15,0,0,
19.04.2021 03:15 - 19.04.2021 03:30,0,0,
19.04.2021 03:30 - 19.04.2021 03:45,0,0,
19.04.2021 03:45 - 19.04.2021 04:00,0,0,
19.04.2021 04:00 - 19.04.2021 04:15,0,0,
19.04.2021 04:15 - 19.04.2021 04:30,0,0,
19.04.2021 04:30 - 19.04.2021 04:45,0,0,
19.04.2021 04:45 - 19.04.2021 05:00,0,0,
19.04.2021 05:00 - 19.04.2021 05:15,0,0,
19.04.2021 05:15 - 19.04.2021 05:30,0,0,
19.04.2021 05:30 - 19.04.2021 05:45,0,0,
19.04.2021 05:45 - 19.04.2021 06:00,0,6,
19.04.2021 06:00 - 19.04.2021 06:15,10,24,
19.04.2021 06:15 - 19.04.2021 06:30,134,133,
19.04.2021 06:30 - 19.04.2021 06:45,343,259,
19.04.2021 06:45 - 19.04.2021 07:00,660,518,
19.04.2021 07:00 - 19.04.2021 07:15,1101,959,
19.04.2021 07:15 - 19.04.2021 07:30,1664,1551,
19.04.2021 07:30 - 19.04.2021 07:45,2313,2217,
19.04.2021 07:45 - 19.04.2021 08:00,3029,2929,
19.04.2021 08:00 - 19.04.2021 08:15,3798,3722,
19.04.2021 08:15 - 19.04.2021 08:30,4637,4524,
19.04.2021 08:30 - 19.04.2021 08:45,5579,5389,
19.04.2021 08:45 - 19.04.2021 09:00,6560,6421,
19.04.2021 09:00 - 19.04.2021 09:15,7603,7372,
19.04.2021 09:15 - 19.04.2021 09:30,8670,8279,
19.04.2021 09:30 - 19.04.2021 09:45,9743,9213,
19.04.2021 09:45 - 19.04.2021 10:00,10802,10058,
19.04.2021 10:00 - 19.04.2021 10:15,11840,10863,
19.04.2021 10:15 - 19.04.2021 10:30,12843,11842,
19.04.2021 10:30 - 19.04.2021 10:45,13800,12627,
19.04.2021 10:45 - 19.04.2021 11:00,14675,13377,
19.04.2021 11:00 - 19.04.2021 11:15,15416,14149,
19.04.2021 11:15 - 19.04.2021 11:30,16076,14865,
19.04.2021 11:30 - 19.04.2021 11:45,16638,15524,
19.04.2021 11:45 - 19.04.2021 12:00,17076,15895,
19.04.2021 12:00 - 19.04.2021 12:15,17499,16376,
19.04.2021 12:15 - 19.04.2021 12:30,17795,16792,
19.04.2021 12:30 - 19.04.2021 12:45,18002,17235,
19.04.2021 12:45 - 19.04.2021 13:00,18150,17710,
19.04.2021 13:00 - 19.04.2021 13:15,18250,18154,
19.04.2021 13:15 - 19.04.2021 13:30,18291,18618,
19.04.2021 13:30 - 19.04.2021 13:45,18267,18566,
19.04.2021 13:45 - 19.04.2021 14:00,18166,18771,
19.04.2021 14:00 - 19.04.2021 14:15,18023,18938,
19.04.2021 14:15 - 19.04.2021 14:30,17886,18776,
19.04.2021 14:30 - 19.04.2021 14:45,17610,18755,
19.04.2021 14:45 - 19.04.2021 15:00,17321,18456,
19.04.2021 15:00 - 19.04.2021 15:15,16937,18260,
19.04.2021 15:15 - 19.04.2021 15:30,16466,17713,
19.04.2021 15:30 - 19.04.2021 15:45,15874,17030,
19.04.2021 15:45 - 19.04.2021 16:00,15263,16247,
19.04.2021 16:00 - 19.04.2021 16:15,14566,15402,
19.04.2021 16:15 - 19.04.2021 16:30,13820,14379,
19.04.2021 16:30 - 19.04.2021 16:45,12965,13652,
19.04.2021 16:45 - 19.04.2021 17:00,12027,12685,
19.04.2021 17:00 - 19.04.2021 17:15,11018,11791,
19.04.2021 17:15 - 19.04.2021 17:30,9970,10681,
19.04.2021 17:30 - 19.04.2021 17:45,8863,9567,
19.04.2021 17:45 - 19.04.2021 18:00,7763,8365,
19.04.2021 18:00 - 19.04.2021 18:15,6656,7105,
19.04.2021 18:15 - 19.04.2021 18:30,5550,5869,
19.04.2021 18:30 - 19.04.2021 18:45,4458,4677,
19.04.2021 18:45 - 19.04.2021 19:00,3452,3565,
19.04.2021 19:00 - 19.04.2021 19:15,2539,2584,
19.04.2021 19:15 - 19.04.2021 19:30,1760,1788,
19.04.2021 19:30 - 19.04.2021 19:45,1145,1105,
19.04.2021 19:45 - 19.04.2021 20:00,658,565,
19.04.2021 20:00 - 19.04.2021 20:15,303,200,
19.04.2021 20:15 - 19.04.2021 20:30,40,38,
19.04.2021 20:30 - 19.04.2021 20:45,0,1,
19.04.2021 20:45 - 19.04.2021 21:00,0,0,
19.04.2021 21:00 - 19.04.2021 21:15,0,0,
19.04.2021 21:15 - 19.04.2021 21:30,0,0,
19.04.2021 21:30 - 19.04.2021 21:45,0,0,
19.04.2021 21:45 - 19.04.2021 22:00,0,0,
19.04.2021 22:00 - 19.04.2021 22:15,0,0,
19.04.2021 22:15 - 19.04.2021 22:30,0,0,
19.04.2021 22:30 - 19.04.2021 22:45,0,0,
19.04.2021 22:45 - 19.04.2021 23:00,0,0,
19.04.2021 23:00 - 19.04.2021 23:15,0,0,
19.04.2021 23:15 - 19.04.2021 23:30,0,0,
19.04.2021 23:30 - 19.04.2021 23:45,0,0,
19.04.2021 23:45 - 20.04.2021 00:00,0,0,
20.04.2021 00:00 - 20.04.2021 00:15,0,0,
20.04.2021 00:15 - 20.04.2021 00:30,0,0,
20.04.2021 00:30 - 20.04.2021 00:45,0,0,
20.04.2021 00:45 - 20.04.2021 01:00,0,0,
20.04.2021 01:00 - 20.04.2021 01:15,0,0,
20.04.2021 01:15 - 20.04.2021 01:30,0,0,
20.04.2021 01:30 - 20.04.2021 01:45,0,0,
20.04.2021 01:45 - 20.04.2021 02:00,0,0,
20.04.2021 02:00 - 20.04.2021 02:15,0,0,
20.04.2021 02:15 - 20.04.2021 02:30,0,0,
20.04.2021 02:30 - 20.04.2021 02:45,0,0,
20.04.2021 02:45 - 20.04.2021 03:00,0,0,
20.04.2021 03:00 - 20.04.2021 03:15,0,0,
20.04.2021 03:15 - 20.04.2021 03:30,0,0,
20.04.2021 03:30 - 20.04.2021 03:45,0,0,
20.04.2021 03:45 - 20.04.2021 04:00,0,0,
20.04.2021 04:00 - 20.04.2021 04:15,0,0,
20.04.2021 04:15 - 20.04.2021 04:30,0,0,
20.04.2021 04:30 - 20.04.2021 04:45,0,0,
20.04.2021 04:45 - 20.04.2021 05:00,0,0,
20.04.2021 05:00 - 20.04.2021 05:15,0,0,
20.04.2021 05:15 - 20.04.2021 05:30,0,0,
20.04.2021 05:30 - 20.04.2021 05:45,0,0,
20.04.2021 05:45 - 20.04.2021 06:00,0,4,
20.04.2021 06:00 - 20.04.2021 06:15,26,35,
20.04.2021 06:15 - 20.04.2021 06:30,184,140,
20.04.2021 06:30 - 20.04.2021 06:45,473,353,
20.04.2021 06:45 - 20.04.2021 07:00,932,823,
20.04.2021 07:00 - 20.04.2021 07:15,1630,1552,
20.04.2021 07:15 - 20.04.2021 07:30,2578,2491,
20.04.2021 07:30 - 20.04.2021 07:45,3662,3561,
20.04.2021 07:45 - 20.04.2021 08:00,4870,4726,
20.04.2021 08:00 - 20.04.2021 08:15,6205,6085,
20.04.2021 08:15 - 20.04.2021 08:30,7690,7560,
20.04.2021 08:30 - 20.04.2021 08:45,9241,9105,
20.04.2021 08:45 - 20.04.2021 09:00,10875,10713,
20.04.2021 09:00 - 20.04.2021 09:15,12553,12394,
20.04.2021 09:15 - 20.04.2021 09:30,14237,14153,
20.04.2021 09:30 - 20.04.2021 09:45,15821,15893,
20.04.2021 09:45 - 20.04.2021 10:00,17321,17543,
20.04.2021 10:00 - 20.04.2021 10:15,18743,19256,
20.04.2021 10:15 - 20.04.2021 10:30,20089,20788,
20.04.2021 10:30 - 20.04.2021 10:45,21267,22085,
20.04.2021 10:45 - 20.04.2021 11:00,22306,23288,
20.04.2021 11:00 - 20.04.2021 11:15,23206,24534,
20.04.2021 11:15 - 20.04.2021 11:30,23946,25400,
20.04.2021 11:30 - 20.04.2021 11:45,24506,26157,
20.04.2021 11:45 - 20.04.2021 12:00,24995,26840,
20.04.2021 12:00 - 20.04.2021 12:15,25426,27404,
20.04.2021 12:15 - 20.04.2021 12:30,25763,27692,
20.04.2021 12:30 - 20.04.2021 12:45,25973,27845,
20.04.2021 12:45 - 20.04.2021 13:00,26105,28008,
20.04.2021 13:00 - 20.04.2021 13:15,26173,27875,
20.04.2021 13:15 - 20.04.2021 13:30,26144,27973,
20.04.2021 13:30 - 20.04.2021 13:45,26039,27541,
20.04.2021 13:45 - 20.04.2021 14:00,25900,27392,
20.04.2021 14:00 - 20.04.2021 14:15,25679,27034,
20.04.2021 14:15 - 20.04.2021 14:30,25400,26707,
20.04.2021 14:30 - 20.04.2021 14:45,24960,26078,
20.04.2021 14:45 - 20.04.2021 15:00,24472,25326,
20.04.2021 15:00 - 20.04.2021 15:15,23927,24469,
20.04.2021 15:15 - 20.04.2021 15:30,23239,23793,
20.04.2021 15:30 - 20.04.2021 15:45,22396,22920,
20.04.2021 15:45 - 20.04.2021 16:00,21472,21818,
20.04.2021 16:00 - 20.04.2021 16:15,20443,20574,
20.04.2021 16:15 - 20.04.2021 16:30,19270,19266,
20.04.2021 16:30 - 20.04.2021 16:45,17989,18126,
20.04.2021 16:45 - 20.04.2021 17:00,16615,16764,
20.04.2021 17:00 - 20.04.2021 17:15,15136,15298,
20.04.2021 17:15 - 20.04.2021 17:30,13607,13699,
20.04.2021 17:30 - 20.04.2021 17:45,11985,12251,
20.04.2021 17:45 - 20.04.2021 18:00,10314,10609,
20.04.2021 18:00 - 20.04.2021 18:15,8641,9004,
20.04.2021 18:15 - 20.04.2021 18:30,7055,7461,
20.04.2021 18:30 - 20.04.2021 18:45,5507,5913,
20.04.2021 18:45 - 20.04.2021 19:00,4096,4433,
20.04.2021 19:00 - 20.04.2021 19:15,2897,3164,
20.04.2021 19:15 - 20.04.2021 19:30,1962,2176,
20.04.2021 19:30 - 20.04.2021 19:45,1301,1376,
20.04.2021 19:45 - 20.04.2021 20:00,804,718,
20.04.2021 20:00 - 20.04.2021 20:15,398,262,
20.04.2021 20:15 - 20.04.2021 20:30,54,53,
20.04.2021 20:30 - 20.04.2021 20:45,2,4,
20.04.2021 20:45 - 20.04.2021 21:00,0,0,
20.04.2021 21:00 - 20.04.2021 21:15,0,0,
20.04.2021 21:15 - 20.04.2021 21:30,0,0,
20.04.2021 21:30 - 20.04.2021 21:45,0,0,
20.04.2021 21:45 - 20.04.2021 22:00,0,0,
20.04.2021 22:00 - 20.04.2021 22:15,0,0,
20.04.2021 22:15 - 20.04.2021 22:30,0,0,
20.04.2021 22:30 - 20.04.2021 22:45,0,0,
20.04.2021 22:45 - 20.04.2021 23:00,0,0,
20.04.2021 23:00 - 20.04.2021 23:15,0,0,
20.04.2021 23:15 - 20.04.2021 23:30,0,0,
20.04.2021 23:30 - 20.04.2021 23:45,0,0,
20.04.2021 23:45 - 21.04.2021 00:00,0,0,
21.04.2021 00:00 - 21.04.2021 00:15,0,0,
21.04.2021 00:15 - 21.04.2021 00:30,0,0,
21.04.2021 00:30 - 21.04.2021 00:45,0,0,
21.04.2021 00:45 - 21.04.2021 01:00,0,0,
21.04.2021 01:00 - 21.04.2021 01:15,0,0,
21.04.2021 01:15 - 21.04.2021 01:30,0,0,
21.04.2021 01:30 - 21.04.2021 01:45,0,0,
21.04.2021 01:45 - 21.04.2021 02:00,0,0,
21.04.2021 02:00 - 21.04.2021 02:15,0,0,
21.04.2021 02:15 - 21.04.2021 02:30,0,0,
21.04.2021 02:30 - 21.04.2021 02:45,0,0,
21.04.2021 02:45 - 21.04.2021 03:00,0,0,
21.04.2021 03:00 - 21.04.2021 03:15,0,0,
21.04.2021 03:15 - 21.04.2021 03:30,0,0,
21.04.2021 03:30 - 21.04.2021 03:45,0,0,
21.04.2021 03:45 - 21.04.2021 04:00,0,0,
21.04.2021 04:00 - 21.04.2021 04:15,0,0,
21.04.2021 04:15 - 21.04.2021 04:30,0,0,
21.04.2021 04:30 - 21.04.2021 04:45,0,0,
21.04.2021 04:45 - 21.04.2021 05:00,0,0,
21.04.2021 05:00 - 21.04.2021 05:15,0,0,
21.04.2021 05:15 - 21.04.2021 05:30,0,0,
21.04.2021 05:30 - 21.04.2021 05:45,0,1,
21.04.2021 05:45 - 21.04.2021 06:00,1,4,
21.04.2021 06:00 - 21.04.2021 06:15,42,57,
21.04.2021 06:15 - 21.04.2021 06:30,262,198,
21.04.2021 06:30 - 21.04.2021 06:45,636,550,
21.04.2021 06:45 - 21.04.2021 07:00,1199,1235,
21.04.2021 07:00 - 21.04.2021 07:15,2024,2242,
21.04.2021 07:15 - 21.04.2021 07:30,3131,3459,
21.04.2021 07:30 - 21.04.2021 07:45,4407,4838,
21.04.2021 07:45 - 21.04.2021 08:00,5825,6398,
21.04.2021 08:00 - 21.04.2021 08:15,7361,8177,
21.04.2021 08:15 - 21.04.2021 08:30,9077,10024,
21.04.2021 08:30 - 21.04.2021 08:45,10872,12003,
21.04.2021 08:45 - 21.04.2021 09:00,12693,13992,
21.04.2021 09:00 - 21.04.2021 09:15,14526,15964,
21.04.2021 09:15 - 21.04.2021 09:30,16364,17828,
21.04.2021 09:30 - 21.04.2021 09:45,18069,19679,
21.04.2021 09:45 - 21.04.2021 10:00,19636,21529,
21.04.2021 10:00 - 21.04.2021 10:15,21114,23168,
21.04.2021 10:15 - 21.04.2021 10:30,22438,24788,
21.04.2021 10:30 - 21.04.2021 10:45,23604,26198,
21.04.2021 10:45 - 21.04.2021 11:00,24579,27429,
21.04.2021 11:00 - 21.04.2021 11:15,25414,28420,
21.04.2021 11:15 - 21.04.2021 11:30,26106,29000,
21.04.2021 11:30 - 21.04.2021 11:45,26608,29423,
21.04.2021 11:45 - 21.04.2021 12:00,26883,29585,
21.04.2021 12:00 - 21.04.2021 12:15,27034,29582,
21.04.2021 12:15 - 21.04.2021 12:30,27047,29471,
21.04.2021 12:30 - 21.04.2021 12:45,26930,29207,
21.04.2021 12:45 - 21.04.2021 13:00,26744,28671,
21.04.2021 13:00 - 21.04.2021 13:15,26505,28072,
21.04.2021 13:15 - 21.04.2021 13:30,26178,27547,
21.04.2021 13:30 - 21.04.2021 13:45,25830,26668,
21.04.2021 13:45 - 21.04.2021 14:00,25486,26187,
21.04.2021 14:00 - 21.04.2021 14:15,25056,25618,
21.04.2021 14:15 - 21.04.2021 14:30,24570,25011,
21.04.2021 14:30 - 21.04.2021 14:45,23907,24430,
21.04.2021 14:45 - 21.04.2021 15:00,23202,23843,
21.04.2021 15:00 - 21.04.2021 15:15,22451,23211,
21.04.2021 15:15 - 21.04.2021 15:30,21604,22342,
21.04.2021 15:30 - 21.04.2021 15:45,20683,21451,
21.04.2021 15:45 - 21.04.2021 16:00,19725,20371,
21.04.2021 16:00 - 21.04.2021 16:15,18718,19370,
21.04.2021 16:15 - 21.04.2021 16:30,17609,18154,
21.04.2021 16:30 - 21.04.2021 16:45,16392,16890,
21.04.2021 16:45 - 21.04.2021 17:00,15081,15691,
21.04.2021 17:00 - 21.04.2021 17:15,13706,14238,
21.04.2021 17:15 - 21.04.2021 17:30,12263,12791,
21.04.2021 17:30 - 21.04.2021 17:45,10789,11182,
21.04.2021 17:45 - 21.04.2021 18:00,9302,9815,
21.04.2021 18:00 - 21.04.2021 18:15,7842,8326,
21.04.2021 18:15 - 21.04.2021 18:30,6428,6994,
21.04.2021 18:30 - 21.04.2021 18:45,5072,5549,
21.04.2021 18:45 - 21.04.2021 19:00,3836,4279,
21.04.2021 19:00 - 21.04.2021 19:15,2774,3152,
21.04.2021 19:15 - 21.04.2021 19:30,1913,2198,
21.04.2021 19:30 - 21.04.2021 19:45,1287,1414,
21.04.2021 19:45 - 21.04.2021 20:00,778,742,
21.04.2021 20:00 - 21.04.2021 20:15,376,274,
21.04.2021 20:15 - 21.04.2021 20:30,62,58,
21.04.2021 20:30 - 21.04.2021 20:45,3,4,
21.04.2021 20:45 - 21.04.2021 21:00,0,0,
21.04.2021 21:00 - 21.04.2021 21:15,0,0,
21.04.2021 21:15 - 21.04.2021 21:30,0,0,
21.04.2021 21:30 - 21.04.2021 21:45,0,0,
21.04.2021 21:45 - 21.04.2021 22:00,0,0,
21.04.2021 22:00 - 21.04.2021 22:15,0,0,
21.04.2021 22:15 - 21.04.2021 22:30,0,0,
21.04.2021 22:30 - 21.04.2021 22:45,0,0,
21.04.2021 22:45 - 21.04.2021 23:00,0,0,
21.04.2021 23:00 - 21.04.2021 23:15,0,0,
21.04.2021 23:15 - 21.04.2021 23:30,0,0,
21.04.2021 23:30 - 21.04.2021 23:45,0,0,
21.04.2021 23:45 - 22.04.2021 00:00,0,0,
22.04.2021 00:00 - 22.04.2021 00:15,0,0,
22.04.2021 00:15 - 22.04.2021 00:30,0,0,
22.04.2021 00:30 - 22.04.2021 00:45,0,0,
22.04.2021 00:45 - 22.04.2021 01:00,0,0,
22.04.2021 01:00 - 22.04.2021 01:15,0,0,
22.04.2021 01:15 - 22.04.2021 01:30,0,0,
22.04.2021 01:30 - 22.04.2021 01:45,0,0,
22.04.2021 01:45 - 22.04.2021 02:00,0,0,
22.04.2021 02:00 - 22.04.2021 02:15,0,0,
22.04.2021 02:15 - 22.04.2021 02:30,0,0,
22.04.2021 02:30 - 22.04.2021 02:45,0,0,
22.04.2021 02:45 - 22.04.2021 03:00,0,0,
22.04.2021 03:00 - 22.04.2021 03:15,0,0,
22.04.2021 03:15 - 22.04.2021 03:30,0,0,
22.04.2021 03:30 - 22.04.2021 03:45,0,0,
22.04.2021 03:45 - 22.04.2021 04:00,0,0,
22.04.2021 04:00 - 22.04.2021 04:15,0,0,
22.04.2021 04:15 - 22.04.2021 04:30,0,0,
22.04.2021 04:30 - 22.04.2021 04:45,0,0,
22.04.2021 04:45 - 22.04.2021 05:00,0,0,
22.04.2021 05:00 - 22.04.2021 05:15,0,0,
22.04.2021 05:15 - 22.04.2021 05:30,0,0,
22.04.2021 05:30 - 22.04.2021 05:45,0,2,
22.04.2021 05:45 - 22.04.2021 06:00,2,6,
22.04.2021 06:00 - 22.04.2021 06:15,51,68,
22.04.2021 06:15 - 22.04.2021 06:30,296,214,
22.04.2021 06:30 - 22.04.2021 06:45,691,537,
22.04.2021 06:45 - 22.04.2021 07:00,1228,1168,
22.04.2021 07:00 - 22.04.2021 07:15,1991,2061,
22.04.2021 07:15 - 22.04.2021 07:30,2961,3105,
22.04.2021 07:30 - 22.04.2021 07:45,4073,4271,
22.04.2021 07:45 - 22.04.2021 08:00,5288,5590,
22.04.2021 08:00 - 22.04.2021 08:15,6585,7018,
22.04.2021 08:15 - 22.04.2021 08:30,7985,8589,
22.04.2021 08:30 - 22.04.2021 08:45,9437,10264,
22.04.2021 08:45 - 22.04.2021 09:00,10918,11891,
22.04.2021 09:00 - 22.04.2021 09:15,12361,13629,
22.04.2021 09:15 - 22.04.2021 09:30,13818,15178,
22.04.2021 09:30 - 22.04.2021 09:45,15240,16654,
22.04.2021 09:45 - 22.04.2021 10:00,16587,18066,
22.04.2021 10:00 - 22.04.2021 10:15,17847,19343,
22.04.2021 10:15 - 22.04.2021 10:30,19032,20635,
22.04.2021 10:30 - 22.04.2021 10:45,20161,21803,
22.04.2021 10:45 - 22.04.2021 11:00,21253,22920,
22.04.2021 11:00 - 22.04.2021 11:15,22266,23826,
22.04.2021 11:15 - 22.04.2021 11:30,23198,24784,
22.04.2021 11:30 - 22.04.2021 11:45,23981,25487,
22.04.2021 11:45 - 22.04.2021 12:00,24610,26243,
22.04.2021 12:00 - 22.04.2021 12:15,25160,26918,
22.04.2021 12:15 - 22.04.2021 12:30,25631,27575,
22.04.2021 12:30 - 22.04.2021 12:45,25989,28096,
22.04.2021 12:45 - 22.04.2021 13:00,26214,28357,
22.04.2021 13:00 - 22.04.2021 13:15,26368,28451,
22.04.2021 13:15 - 22.04.2021 13:30,26430,28683,
22.04.2021 13:30 - 22.04.2021 13:45,26410,28533,
22.04.2021 13:45 - 22.04.2021 14:00,26301,28655,
22.04.2021 14:00 - 22.04.2021 14:15,26075,28430,
22.04.2021 14:15 - 22.04.2021 14:30,25765,28046,
22.04.2021 14:30 - 22.04.2021 14:45,25282,27732,
22.04.2021 14:45 - 22.04.2021 15:00,24706,26921,
22.04.2021 15:00 - 22.04.2021 15:15,24025,26473,
22.04.2021 15:15 - 22.04.2021 15:30,23247,25676,
22.04.2021 15:30 - 22.04.2021 15:45,22343,24672,
22.04.2021 15:45 - 22.04.2021 16:00,21394,23472,
22.04.2021 16:00 - 22.04.2021 16:15,20342,22381,
22.04.2021 16:15 - 22.04.2021 16:30,19180,21164,
22.04.2021 16:30 - 22.04.2021 16:45,17895,19567,
22.04.2021 16:45 - 22.04.2021 17:00,16519,18106,
