MTU (CET/CEST),FC_Solar,Act_Solar,Day_Ahead_Price
02.01.2021 00:15 - 02.01.2021 00:30,0,0,40.07
02.01.2021 00:30 - 02.01.2021 00:45,0,0,39.81
02.01.2021 00:45 - 02.01.2021 01:00,0,0,39.65
02.01.2021 01:00 - 02.01.2021 01:15,0,0,40.2
02.01.2021 01:15 - 02.01.2021 01:30,0,0,44.26
02.01.2021 01:30 - 02.01.2021 01:45,0,0,47.06
02.01.2021 01:45 - 02.01.2021 02:00,0,0,54.96
02.01.2021 02:00 - 02.01.2021 02:15,0,0,63.67
02.01.2021 02:15 - 02.01.2021 02:30,0,0,64.73
02.01.2021 02:30 - 02.01.2021 02:45,0,0,66.07
02.01.2021 02:45 - 02.01.2021 03:00,0,0,65.97
02.01.2021 03:00 - 02.01.2021 03:15,0,0,65.46
02.01.2021 03:15 - 02.01.2021 03:30,0,0,63.82
02.01.2021 03:30 - 02.01.2021 03:45,0,0,63.87
02.01.2021 03:45 - 02.01.2021 04:00,0,0,64.05
02.01.2021 04:00 - 02.01.2021 04:15,0,0,64.26
02.01.2021 04:15 - 02.01.2021 04:30,0,0,67.14
02.01.2021 04:30 - 02.01.2021 04:45,0,0,61.61
02.01.2021 04:45 - 02.01.2021 05:00,0,0,59.16
02.01.2021 05:00 - 02.01.2021 05:15,0,0,59.26
02.01.2021 05:15 - 02.01.2021 05:30,0,0,53.62
02.01.2021 05:30 - 02.01.2021 05:45,0,0,53.86
02.01.2021 05:45 - 02.01.2021 06:00,0,0,47.99
02.01.2021 06:00 - 02.01.2021 06:15,0,0,44.41
02.01.2021 06:15 - 02.01.2021 06:30,0,0,42.94
02.01.2021 06:30 - 02.01.2021 06:45,0,0,42.88
02.01.2021 06:45 - 02.01.2021 07:00,0,0,42.15
02.01.2021 07:00 - 02.01.2021 07:15,0,0,43.23
02.01.2021 07:15 - 02.01.2021 07:30,0,0,44.56
02.01.2021 07:30 - 02.01.2021 07:45,0,0,47.4
02.01.2021 07:45 - 02.01.2021 08:00,0,0,44.05
02.01.2021 08:00 - 02.01.2021 08:15,4,35,53.41
02.01.2021 08:15 - 02.01.2021 08:30,55,75,54.8
02.01.2021 08:30 - 02.01.2021 08:45,280,173,53.94
02.01.2021 08:45 - 02.01.2021 09:00,533,335,58.3
02.01.2021 09:00 - 02.01.2021 09:15,874,562,61.43
02.01.2021 09:15 - 02.01.2021 09:30,1292,835,61.92
02.01.2021 09:30 - 02.01.2021 09:45,1720,1110,57
02.01.2021 09:45 - 02.01.2021 10:00,2163,1421,57.53
02.01.2021 10:00 - 02.01.2021 10:15,2585,1735,61.68
02.01.2021 10:15 - 02.01.2021 10:30,2985,2072,61.84
02.01.2021 10:30 - 02.01.2021 10:45,3343,2334,57.46
02.01.2021 10:45 - 02.01.2021 11:00,3708,2665,58.06
02.01.2021 11:00 - 02.01.2021 11:15,4026,3013,59.97
02.01.2021 11:15 - 02.01.2021 11:30,4305,3244,52.95
02.01.2021 11:30 - 02.01.2021 11:45,4533,3419,52.95
02.01.2021 11:45 - 02.01.2021 12:00,4705,3565,49.53
02.01.2021 12:00 - 02.01.2021 12:15,4795,3711,51.03
02.01.2021 12:15 - 02.01.2021 12:30,4829,3804,50.18
02.01.2021 12:30 - 02.01.2021 12:45,4792,3759,48.97
02.01.2021 12:45 - 02.01.2021 13:00,4697,3631,46.72
02.01.2021 13:00 - 02.01.2021 13:15,4586,3426,46.87
02.01.2021 13:15 - 02.01.2021 13:30,4444,3242,50.08
02.01.2021 13:30 - 02.01.2021 13:45,4162,2953,57.34
02.01.2021 13:45 - 02.01.2021 14:00,3857,2665,67.8
02.01.2021 14:00 - 02.01.2021 14:15,3495,2311,86.51
02.01.2021 14:15 - 02.01.2021 14:30,3084,1966,86.54
02.01.2021 14:30 - 02.01.2021 14:45,2613,1603,85.08
02.01.2021 14:45 - 02.01.2021 15:00,2175,1265,88.74
02.01.2021 15:00 - 02.01.2021 15:15,1737,971,88.76
02.01.2021 15:15 - 02.01.2021 15:30,1300,688,84.31
02.01.2021 15:30 - 02.01.2021 15:45,898,458,80.4
02.01.2021 15:45 - 02.01.2021 16:00,566,244,83.57
02.01.2021 16:00 - 02.01.2021 16:15,332,83,89.68
02.01.2021 16:15 - 02.01.2021 16:30,164,9,100
02.01.2021 16:30 - 02.01.2021 16:45,5,1,90.43
02.01.2021 16:45 - 02.01.2021 17:00,1,0,80.28
02.01.2021 17:00 - 02.01.2021 17:15,0,0,66.8
02.01.2021 17:15 - 02.01.2021 17:30,0,0,60.22
02.01.2021 17:30 - 02.01.2021 17:45,0,0,59.69
02.01.2021 17:45 - 02.01.2021 18:00,0,0,52.25
02.01.2021 18:00 - 02.01.2021 18:15,0,0,50.53
02.01.2021 18:15 - 02.01.2021 18:30,0,0,48.43
02.01.2021 18:30 - 02.01.2021 18:45,0,0,47.24
02.01.2021 18:45 - 02.01.2021 19:00,0,0,45.61
02.01.2021 19:00 - 02.01.2021 19:15,0,0,46.81
02.01.2021 19:15 - 02.01.2021 19:30,0,0,51.57
02.01.2021 19:30 - 02.01.2021 19:45,0,0,60.67
02.01.2021 19:45 - 02.01.2021 20:00,0,0,79.56
02.01.2021 20:00 - 02.01.2021 20:15,0,0,103.54
02.01.2021 20:15 - 02.01.2021 20:30,0,0,110.45
02.01.2021 20:30 - 02.01.2021 20:45,0,0,109.96
02.01.2021 20:45 - 02.01.2021 21:00,0,0,106.82
02.01.2021 21:00 - 02.01.2021 21:15,0,0,102.37
02.01.2021 21:15 - 02.01.2021 21:30,0,0,97.61
02.01.2021 21:30 - 02.01.2021 21:45,0,0,95
02.01.2021 21:45 - 02.01.2021 22:00,0,0,95.42
02.01.2021 22:00 - 02.01.2021 22:15,0,0,95
02.01.2021 22:15 - 02.01.2021 22:30,0,0,110
02.01.2021 22:30 - 02.01.2021 22:45,0,0,102.41
02.01.2021 22:45 - 02.01.2021 23:00,0,0,88.05
02.01.2021 23:00 - 02.01.2021 23:15,0,0,64.24
02.01.2021 23:15 - 02.01.2021 23:30,0,0,59.43
02.01.2021 23:30 - 02.01.2021 23:45,0,0,57.6
02.01.2021 23:45 - 03.01.2021 00:00,0,0,51.75
03.01.2021 00:00 - 03.01.2021 00:15,0,0,54.73
03.01.2021 00:15 - 03.01.2021 00:30,0,0,52.39
03.01.2021 00:30 - 03.01.2021 00:45,0,0,51.67
03.01.2021 00:45 - 03.01.2021 01:00,0,0,50.88
03.01.2021 01:00 - 03.01.2021 01:15,0,0,50.02
03.01.2021 01:15 - 03.01.2021 01:30,0,0,49.1
03.01.2021 01:30 - 03.01.2021 01:45,0,0,49.57
03.01.2021 01:45 - 03.01.2021 02:00,0,0,53.82
03.01.2021 02:00 - 03.01.2021 02:15,0,0,59.8
03.01.2021 02:15 - 03.01.2021 02:30,0,0,66.92
03.01.2021 02:30 - 03.01.2021 02:45,0,0,67.71
03.01.2021 02:45 - 03.01.2021 03:00,0,0,68
03.01.2021 03:00 - 03.01.2021 03:15,0,0,67.01
03.01.2021 03:15 - 03.01.2021 03:30,0,0,62.53
03.01.2021 03:30 - 03.01.2021 03:45,0,0,60
03.01.2021 03:45 - 03.01.2021 04:00,0,0,60
03.01.2021 04:00 - 03.01.2021 04:15,0,0,62.78
03.01.2021 04:15 - 03.01.2021 04:30,0,0,69.92
03.01.2021 04:30 - 03.01.2021 04:45,0,0,71.99
03.01.2021 04:45 - 03.01.2021 05:00,0,0,68.95
03.01.2021 05:00 - 03.01.2021 05:15,0,0,62.66
03.01.2021 05:15 - 03.01.2021 05:30,0,0,56.54
03.01.2021 05:30 - 03.01.2021 05:45,0,0,55.81
03.01.2021 05:45 - 03.01.2021 06:00,0,0,50.85
03.01.2021 06:00 - 03.01.2021 06:15,0,0,54.65
03.01.2021 06:15 - 03.01.2021 06:30,0,0,51.79
03.01.2021 06:30 - 03.01.2021 06:45,0,0,50.58
03.01.2021 06:45 - 03.01.2021 07:00,0,0,47.98
03.01.2021 07:00 - 03.01.2021 07:15,0,0,47.6
03.01.2021 07:15 - 03.01.2021 07:30,0,0,47.59
03.01.2021 07:30 - 03.01.2021 07:45,0,0,42.09
03.01.2021 07:45 - 03.01.2021 08:00,0,1,44.56
03.01.2021 08:00 - 03.01.2021 08:15,2,43,49.46
03.01.2021 08:15 - 03.01.2021 08:30,27,133,54.96
03.01.2021 08:30 - 03.01.2021 08:45,165,87,53.63
03.01.2021 08:45 - 03.01.2021 09:00,275,75,55.57
03.01.2021 09:00 - 03.01.2021 09:15,420,139,54.17
03.01.2021 09:15 - 03.01.2021 09:30,592,233,52.62
03.01.2021 09:30 - 03.01.2021 09:45,791,360,53.18
03.01.2021 09:45 - 03.01.2021 10:00,1018,492,54.85
03.01.2021 10:00 - 03.01.2021 10:15,1237,635,56.52
03.01.2021 10:15 - 03.01.2021 10:30,1444,794,62.09
03.01.2021 10:30 - 03.01.2021 10:45,1630,975,63.41
03.01.2021 10:45 - 03.01.2021 11:00,1813,1136,56.39
03.01.2021 11:00 - 03.01.2021 11:15,1971,1263,55.64
03.01.2021 11:15 - 03.01.2021 11:30,2105,1366,53.33
03.01.2021 11:30 - 03.01.2021 11:45,2214,1453,52.05
03.01.2021 11:45 - 03.01.2021 12:00,2285,1494,37.24
03.01.2021 12:00 - 03.01.2021 12:15,2320,1523,44.9
03.01.2021 12:15 - 03.01.2021 12:30,2326,1545,44.74
03.01.2021 12:30 - 03.01.2021 12:45,2300,1547,45.06
03.01.2021 12:45 - 03.01.2021 13:00,2229,1512,44.07
03.01.2021 13:00 - 03.01.2021 13:15,2133,1455,44.53
03.01.2021 13:15 - 03.01.2021 13:30,2059,1373,42.74
03.01.2021 13:30 - 03.01.2021 13:45,1894,1262,54.62
03.01.2021 13:45 - 03.01.2021 14:00,1729,1152,67.11
03.01.2021 14:00 - 03.01.2021 14:15,1549,1026,70.59
03.01.2021 14:15 - 03.01.2021 14:30,1370,885,58.32
03.01.2021 14:30 - 03.01.2021 14:45,1158,747,55.89
03.01.2021 14:45 - 03.01.2021 15:00,957,627,54.49
03.01.2021 15:00 - 03.01.2021 15:15,760,498,53.35
03.01.2021 15:15 - 03.01.2021 15:30,576,377,48.39
03.01.2021 15:30 - 03.01.2021 15:45,408,253,49.57
03.01.2021 15:45 - 03.01.2021 16:00,280,135,50.96
03.01.2021 16:00 - 03.01.2021 16:15,181,54,49.12
03.01.2021 16:15 - 03.01.2021 16:30,97,16,53.44
03.01.2021 16:30 - 03.01.2021 16:45,2,1,47.94
03.01.2021 16:45 - 03.01.2021 17:00,0,0,42.16
03.01.2021 17:00 - 03.01.2021 17:15,0,0,38.03
03.01.2021 17:15 - 03.01.2021 17:30,0,0,34.24
03.01.2021 17:30 - 03.01.2021 17:45,0,0,34.01
03.01.2021 17:45 - 03.01.2021 18:00,0,0,27.39
03.01.2021 18:00 - 03.01.2021 18:15,0,0,18.96
03.01.2021 18:15 - 03.01.2021 18:30,0,0,15.82
03.01.2021 18:30 - 03.01.2021 18:45,0,0,19
03.01.2021 18:45 - 03.01.2021 19:00,0,0,24.14
03.01.2021 19:00 - 03.01.2021 19:15,0,0,27
03.01.2021 19:15 - 03.01.2021 19:30,0,0,35.94
03.01.2021 19:30 - 03.01.2021 19:45,0,0,40.96
03.01.2021 19:45 - 03.01.2021 20:00,0,0,54.51
03.01.2021 20:00 - 03.01.2021 20:15,0,0,60.64
03.01.2021 20:15 - 03.01.2021 20:30,0,0,54.96
03.01.2021 20:30 - 03.01.2021 20:45,0,0,56.5
03.01.2021 20:45 - 03.01.2021 21:00,0,0,57.88
03.01.2021 21:00 - 03.01.2021 21:15,0,0,59.64
03.01.2021 21:15 - 03.01.2021 21:30,0,0,54.94
03.01.2021 21:30 - 03.01.2021 21:45,0,0,51.55
03.01.2021 21:45 - 03.01.2021 22:00,0,0,55.56
03.01.2021 22:00 - 03.01.2021 22:15,0,0,63.01
03.01.2021 22:15 - 03.01.2021 22:30,0,0,64.6
03.01.2021 22:30 - 03.01.2021 22:45,0,0,61.89
03.01.2021 22:45 - 03.01.2021 23:00,0,0,54.9
03.01.2021 23:00 - 03.01.2021 23:15,0,0,53.25
03.01.2021 23:15 - 03.01.2021 23:30,0,0,44.84
03.01.2021 23:30 - 03.01.2021 23:45,0,0,38.68
03.01.2021 23:45 - 04.01.2021 00:00,0,0,37.24
04.01.2021 00:00 - 04.01.2021 00:15,0,0,34.59
04.01.2021 00:15 - 04.01.2021 00:30,0,0,33.47
04.01.2021 00:30 - 04.01.2021 00:45,0,0,32.36
04.01.2021 00:45 - 04.01.2021 01:00,0,0,30.84
04.01.2021 01:00 - 04.01.2021 01:15,0,0,31.68
04.01.2021 01:15 - 04.01.2021 01:30,0,0,36.81
04.01.2021 01:30 - 04.01.2021 01:45,0,0,41.87
04.01.2021 01:45 - 04.01.2021 02:00,0,0,46.21
04.01.2021 02:00 - 04.01.2021 02:15,0,0,56.14
04.01.2021 02:15 - 04.01.2021 02:30,0,0,47.71
04.01.2021 02:30 - 04.01.2021 02:45,0,0,46.23
04.01.2021 02:45 - 04.01.2021 03:00,0,0,43.82
04.01.2021 03:00 - 04.01.2021 03:15,0,0,41.22
04.01.2021 03:15 - 04.01.2021 03:30,0,0,40.04
04.01.2021 03:30 - 04.01.2021 03:45,0,0,39.47
04.01.2021 03:45 - 04.01.2021 04:00,0,0,41.17
04.01.2021 04:00 - 04.01.2021 04:15,0,0,45.91
04.01.2021 04:15 - 04.01.2021 04:30,0,0,55.49
04.01.2021 04:30 - 04.01.2021 04:45,0,0,54.51
04.01.2021 04:45 - 04.01.2021 05:00,0,0,49.28
04.01.2021 05:00 - 04.01.2021 05:15,0,0,48.65
04.01.2021 05:15 - 04.01.2021 05:30,0,0,41.89
04.01.2021 05:30 - 04.01.2021 05:45,0,0,41
04.01.2021 05:45 - 04.01.2021 06:00,0,0,38.97
04.01.2021 06:00 - 04.01.2021 06:15,0,0,37.3
04.01.2021 06:15 - 04.01.2021 06:30,0,0,36.91
04.01.2021 06:30 - 04.01.2021 06:45,0,0,36.98
04.01.2021 06:45 - 04.01.2021 07:00,0,0,39.82
04.01.2021 07:00 - 04.01.2021 07:15,0,0,43.2
04.01.2021 07:15 - 04.01.2021 07:30,0,0,46.45
04.01.2021 07:30 - 04.01.2021 07:45,0,0,60.04
04.01.2021 07:45 - 04.01.2021 08:00,0,1,79.9
04.01.2021 08:00 - 04.01.2021 08:15,3,43,88.82
04.01.2021 08:15 - 04.01.2021 08:30,36,142,89.27
04.01.2021 08:30 - 04.01.2021 08:45,176,113,89.63
04.01.2021 08:45 - 04.01.2021 09:00,311,101,91.05
04.01.2021 09:00 - 04.01.2021 09:15,479,150,88.75
04.01.2021 09:15 - 04.01.2021 09:30,675,236,87.1
04.01.2021 09:30 - 04.01.2021 09:45,894,324,83.98
04.01.2021 09:45 - 04.01.2021 10:00,1119,443,79.96
04.01.2021 10:00 - 04.01.2021 10:15,1338,567,83.42
04.01.2021 10:15 - 04.01.2021 10:30,1554,685,100.67
04.01.2021 10:30 - 04.01.2021 10:45,1746,803,90.16
04.01.2021 10:45 - 04.01.2021 11:00,1929,916,87.7
04.01.2021 11:00 - 04.01.2021 11:15,2091,992,74.58
04.01.2021 11:15 - 04.01.2021 11:30,2226,1066,62.74
04.01.2021 11:30 - 04.01.2021 11:45,2329,1113,59.82
04.01.2021 11:45 - 04.01.2021 12:00,2399,1165,55.6
04.01.2021 12:00 - 04.01.2021 12:15,2429,1200,48.98
04.01.2021 12:15 - 04.01.2021 12:30,2431,1204,48.66
04.01.2021 12:30 - 04.01.2021 12:45,2402,1203,47.7
04.01.2021 12:45 - 04.01.2021 13:00,2331,1182,46.6
04.01.2021 13:00 - 04.01.2021 13:15,2223,1135,48
04.01.2021 13:15 - 04.01.2021 13:30,2110,1077,51.52
04.01.2021 13:30 - 04.01.2021 13:45,1972,1016,62.97
04.01.2021 13:45 - 04.01.2021 14:00,1825,941,77.94
04.01.2021 14:00 - 04.01.2021 14:15,1659,859,94.07
04.01.2021 14:15 - 04.01.2021 14:30,1498,750,97.76
04.01.2021 14:30 - 04.01.2021 14:45,1308,629,90.69
04.01.2021 14:45 - 04.01.2021 15:00,1111,505,86.97
